"ID","Department","To Date","From Date","Company","Total Estimated Budget","ID (Staffing Plan Detail)"
"plan7762","Production - 118","2064-11-27","2063-10-19","18company",0.0,"16b59b9848"
"plan7760","Human Resources - 2","2063-06-29","2063-01-29","2company",142936.0,"c16fbae304"
"plan7759","Quality Management - 4","2063-07-26","2063-07-26","4company",1161104.0,"7aeee90732"
"plan7756","Marketing - 8","2064-10-22","2063-09-19","8company",0.0,"7cc1b5fac1"
"plan7753","Production - 116","2063-05-24","2063-04-18","16company",0.0,"56b888005b"
"plan7752","Research & Development - 110","2064-11-22","2063-06-16","10company",489020.0,"9ad16666cc"
"plan7750","Customer Service - 7","2063-04-26","2063-03-20","7company",1179760.0,"30d80e266a"
"plan7746","Operations - 1","2063-11-29","2063-08-27","1company",0.0,"2ce36e485c"
"plan7741","Legal - 117","2063-01-26","2063-01-25","17company",0.0,"1b12332c5f"
"plan7738","Management - 6","2063-05-27","2063-05-13","6company",0.0,"92299959ea"
"plan7737","Customer Service - 118","2064-09-17","2063-09-15","18company",268384.0,"ffbc01ebdb"
"plan7734","Customer Service - 2","2063-08-28","2063-08-26","2company",386516.0,"7df204e6aa"
"plan7730","Production - 113","2063-10-28","2063-10-15","13company",114766.0,"a1e5b4a567"
"plan7728","Dispatch - 8","2064-09-20","2063-08-13","8company",0.0,"bd6a9899cd"
"plan7724","Research & Development - 6","2064-08-26","2063-02-24","6company",0.0,"3ab071c022"
"plan7717","Purchase - 2","2063-11-15","2063-09-03","2company",726930.0,"3901abb323"
"plan7714","Legal - 116","2064-07-24","2063-06-05","16company",0.0,"c17d706de3"
"plan7712","Research & Development - 112","2063-08-15","2063-06-02","12company",445494.0,"b96b5769c0"
"plan7707","Management - 118","2064-07-22","2063-04-20","18company",0.0,"6694afbeff"
"plan7705","Sales - 118","2064-11-29","2063-09-24","18company",0.0,"5816f868ec"
"plan7702","Sales - 4","2063-04-23","2063-01-22","4company",0.0,"4f2badfd65"
"plan7701","Human Resources - 117","2063-10-27","2063-09-17","17company",0.0,"758514b91c"
"plan7698","Quality Management - 3","2063-09-29","2063-08-17","3company",0.0,"75f4a1c8f2"
"plan7691","Customer Service - 5","2063-11-27","2063-11-27","5company",503876.0,"36d6d12472"
"plan7690","Marketing - 4","2064-10-28","2063-10-24","4company",0.0,"135ed8e983"
"plan7685","Purchase - 7","2064-08-21","2063-03-14","7company",1096448.0,"829df801f3"
"plan7683","Operations - 116","2064-09-16","2063-08-12","16company",229758.0,"64d685764d"
"plan7681","Human Resources - 112","2063-11-24","2063-08-21","12company",0.0,"70cd69f081"
"plan7680","Customer Service - 2","2063-03-26","2063-03-20","2company",0.0,"78f073ca55"
"plan7677","Dispatch - 113","2063-07-16","2063-03-06","13company",0.0,"952d3b3d8f"
"plan7675","Marketing - 1","2063-09-22","2063-08-01","1company",1266399.0,"57656a0f54"
"plan7674","Operations - 110","2063-11-22","2063-11-22","10company",310170.0,"57dd2283e3"
"plan7673","Operations - 6","2064-11-27","2063-11-27","6company",563888.0,"0c839287e9"
"plan7672","Purchase - 3","2063-06-27","2063-01-06","3company",0.0,"4a5e3287e6"
"plan7669","Human Resources - 9","2064-07-27","2063-02-11","9company",0.0,"c8b9baa8f1"
"plan7663","Quality Management - 113","2064-11-18","2063-11-06","13company",0.0,"5e8f244888"
"plan7660","Customer Service - 117","2063-10-28","2063-07-25","17company",0.0,"3f7d302330"
"plan7658","Research & Development - 2","2063-01-22","2063-01-20","2company",1376265.0,"bff2e3d8bf"
"plan7652","Customer Service - 8","2063-09-07","2063-04-03","8company",391065.0,"a51467e3d9"
"plan7648","Customer Service - 112","2063-01-12","2063-01-10","12company",600616.0,"ab2c010437"
"plan7646","Human Resources - 115","2063-05-15","2063-04-14","15company",0.0,"4e6df518cb"
"plan7645","Quality Management - 110","2063-01-25","2063-01-25","10company",0.0,"6d0cd5e193"
"plan7644","Sales - 6","2063-10-28","2063-08-25","6company",0.0,"02437c3936"
"plan7639","Quality Management - 115","2064-08-19","2063-07-12","15company",879095.0,"3f6add18d3"
"plan7638","Purchase - 115","2064-11-25","2063-08-23","15company",0.0,"f60a7f7cb6"
"plan7637","Production - 1","2064-08-18","2063-07-05","1company",0.0,"3feced2b62"
"plan7636","Dispatch - 1","2063-06-13","2063-03-11","1company",390404.0,"a94de01c6d"
"plan7634","Dispatch - 8","2064-11-17","2063-11-17","8company",0.0,"76767a765f"
"plan7629","Customer Service - 1","2064-08-11","2063-08-04","1company",720555.0,"5e863a0f3c"
"plan7621","","2064-10-28","2063-02-26","11company",0.0,"818038cfa6"
"plan7619","Research & Development - 9","2064-10-29","2063-09-26","9company",1292005.0,"3001eea915"
"plan7616","Dispatch - 118","2064-10-29","2063-09-26","18company",0.0,"d8e8df804f"
"plan7615","Research & Development - 2","2063-07-25","2063-05-24","2company",0.0,"75ad025867"
"plan7614","Production - 3","2063-10-29","2063-09-27","3company",0.0,"9166b4159d"
"plan7612","Research & Development - 115","2063-03-27","2063-02-25","15company",320645.0,"3e8c48e349"
"plan7611","Purchase - 6","2063-09-22","2063-06-20","6company",653958.0,"7a0b3c7139"
"plan7610","Sales - 9","2063-07-21","2063-04-18","9company",0.0,"27548b6e9f"
"plan7609","Production - 4","2064-10-29","2063-10-20","4company",0.0,"2fe0d8d304"
"plan7606","Production - 9","2063-08-13","2063-04-04","9company",0.0,"b3143a67f8"
"plan7605","Management - 112","2063-11-29","2063-11-07","12company",0.0,"87570f226c"
"plan7604","","2064-07-28","2063-07-15","11company",0.0,"c0bec9d077"
"plan7601","","2063-10-20","2063-08-07","11company",843039.0,"c3d36fec99"
"plan7600","Operations - 3","2064-09-19","2063-07-18","3company",0.0,"a2dcf7b0fe"
"plan7598","Management - 113","2063-06-21","2063-06-13","13company",0.0,"c476f50e01"
"plan7597","Legal - 4","2064-11-26","2063-09-22","4company",1051504.0,"3d61d1de0a"
"plan7596","Quality Management - 7","2063-11-26","2063-10-24","7company",1115136.0,"4e9665b4c0"
"plan7595","Quality Management - 110","2064-11-27","2063-11-13","10company",0.0,"15c8b6654a"
"plan7593","Legal - 1","2063-09-22","2063-05-22","1company",0.0,"4362246163"
"plan7592","","2064-11-29","2063-11-29","11company",679245.0,"560d148b58"
"plan7591","Marketing - 4","2064-11-27","2063-10-25","4company",0.0,"6d9a5235f5"
"plan7589","Marketing - 115","2063-06-23","2063-03-23","15company",0.0,"2cf93bf27c"
"plan7588","Dispatch - 110","2064-05-11","2063-04-01","10company",0.0,"adc5a0a6d9"
"plan7585","Legal - 8","2063-10-27","2063-05-27","8company",278898.0,"e85fa15eb6"
"plan7583","Marketing - 5","2063-07-25","2063-06-18","5company",0.0,"8564f7edac"
"plan7581","Management - 114","2064-06-18","2063-02-08","14company",442818.0,"bfb936d09e"
"plan7576","Dispatch - 2","2064-10-28","2063-06-13","2company",559285.0,"ecb4c9cf1d"
"plan7575","Dispatch - 113","2064-09-20","2063-08-10","13company",1172727.0,"442e2f058b"
"plan7574","Dispatch - 8","2064-11-27","2063-11-10","8company",678220.0,"39e8529138"
"plan7573","Quality Management - 116","2063-09-22","2063-09-03","16company",0.0,"8ce7edf056"
"plan7572","Sales - 7","2064-11-22","2063-07-22","7company",895230.0,"9d39a2b92a"
"plan7568","Management - 112","2064-11-18","2063-11-18","12company",0.0,"f0f5a595b2"
"plan7566","Production - 117","2063-03-27","2063-02-24","17company",351340.0,"f28844f182"
"plan7563","Legal - 113","2064-10-18","2063-09-07","13company",0.0,"e38b59aea2"
"plan7561","Customer Service - 2","2064-07-16","2063-04-09","2company",0.0,"e7f04c9700"
"plan7560","Marketing - 112","2064-02-14","2063-01-08","12company",1216071.0,"f07bc7e156"
"plan7555","Marketing - 3","2064-06-22","2063-05-13","3company",0.0,"6c1ba473cb"
"plan7554","Marketing - 116","2064-11-29","2063-08-18","16company",0.0,"5c679a30dc"
"plan7552","Marketing - 8","2063-05-15","2063-03-13","8company",0.0,"3ff851c69f"
"plan7551","Human Resources - 110","2064-04-21","2063-04-16","10company",0.0,"6d2fa467c3"
"plan7550","Customer Service - 110","2064-11-16","2063-11-01","10company",361464.0,"dcb662ed09"
"plan7548","Customer Service - 118","2064-09-29","2063-09-25","18company",0.0,"a07f999775"
"plan7547","Production - 110","2063-11-28","2063-11-16","10company",417075.0,"226faa45b3"
"plan7545","Dispatch - 6","2063-05-24","2063-05-13","6company",708900.0,"e4e9e3efe3"
"plan7539","Operations - 118","2064-04-24","2063-04-08","18company",0.0,"e44c7a224a"
"plan7537","Customer Service - 5","2064-08-17","2063-06-05","5company",0.0,"7aceae75da"
"plan7536","Research & Development - 112","2063-11-07","2063-05-06","12company",0.0,"aad9d7b234"
"plan7534","Management - 118","2063-02-14","2063-01-11","18company",0.0,"349e10a954"
"plan7532","Human Resources - 6","2064-08-29","2063-07-24","6company",985380.0,"ae53cc7204"
"plan7528","Marketing - 9","2064-11-15","2063-08-09","9company",0.0,"22e2e9ebcf"
"plan7527","Marketing - 3","2063-04-20","2063-04-19","3company",730440.0,"dae5012525"
"plan7526","Production - 6","2064-09-19","2063-08-08","6company",0.0,"b124f05cc4"
"plan7524","Research & Development - 117","2064-11-10","2063-11-10","17company",189782.0,"21469a9257"
"plan7523","Legal - 112","2063-11-23","2063-01-03","12company",0.0,"c24cd310cf"
"plan7521","Research & Development - 6","2063-05-27","2063-04-25","6company",0.0,"71c99f2a5b"
"plan7519","Sales - 5","2064-08-23","2063-07-16","5company",0.0,"69646b4b2f"
"plan7516","Legal - 1","2063-07-14","2063-06-01","1company",840240.0,"bc19b2f182"
"plan7515","Customer Service - 117","2063-06-28","2063-03-19","17company",521075.0,"e0233aa9d2"
"plan7514","Sales - 114","2063-10-08","2063-09-05","14company",422534.0,"53f40787bf"
"plan7513","Marketing - 7","2063-04-22","2063-04-10","7company",0.0,"0dba2149f6"
"plan7512","Dispatch - 7","2063-04-20","2063-03-20","7company",601188.0,"75d5a53fb1"
"plan7506","Customer Service - 114","2064-08-28","2063-04-22","14company",0.0,"50d89e4272"
"plan7505","Sales - 114","2064-11-14","2063-07-03","14company",0.0,"0bf231b7a8"
"plan7504","Legal - 113","2063-11-24","2063-11-22","13company",297534.0,"8d9e00ff98"
"plan7503","Production - 113","2064-07-24","2063-06-22","13company",0.0,"33bcc1d271"
"plan7501","Human Resources - 2","2063-06-29","2063-04-26","2company",0.0,"a3d053b31f"
"plan7500","Marketing - 4","2063-06-22","2063-05-06","4company",0.0,"749c5a9554"
"plan7498","Purchase - 117","2064-10-25","2063-04-11","17company",0.0,"9f6160fe78"
"plan7497","Marketing - 7","2063-07-29","2063-06-24","7company",787038.0,"d187b41166"
"plan7495","Human Resources - 9","2064-05-23","2063-03-18","9company",0.0,"109b1db93a"
"plan7493","Management - 3","2063-08-24","2063-02-16","3company",0.0,"86f834286c"
"plan7492","Marketing - 9","2064-08-18","2063-08-18","9company",0.0,"b520f6a08e"
"plan7491","Dispatch - 9","2064-11-28","2063-08-16","9company",0.0,"67404cad2c"
"plan7490","Dispatch - 3","2063-08-27","2063-08-27","3company",610631.0,"4c6cbdc3df"
"plan7489","Quality Management - 112","2064-06-29","2063-06-19","12company",0.0,"fbd2a3fef2"
"plan7488","Legal - 1","2063-11-27","2063-07-27","1company",0.0,"6a78ae0dbd"
"plan7487","Human Resources - 4","2064-11-05","2063-10-05","4company",0.0,"0323444303"
"plan7486","Purchase - 116","2063-11-19","2063-09-05","16company",1329097.0,"f0fb7fd7a0"
"plan7485","Purchase - 115","2063-10-23","2063-03-05","15company",0.0,"f456048b26"
"plan7484","Legal - 110","2064-11-15","2063-11-05","10company",265096.0,"4caff62187"
"plan7483","Management - 113","2063-05-29","2063-03-27","13company",0.0,"9b962e1009"
"plan7482","Purchase - 116","2064-09-25","2063-02-19","16company",0.0,"c6ecd016aa"
"plan7481","Operations - 7","2063-11-29","2063-11-26","7company",0.0,"c766ed4518"
"plan7480","Human Resources - 5","2063-11-18","2063-11-07","5company",949130.0,"7543486f71"
"plan7479","Sales - 116","2064-08-25","2063-01-06","16company",1005435.0,"a5ff8dcf07"
"plan7477","Sales - 8","2063-09-26","2063-05-17","8company",0.0,"15a04cf7c2"
"plan7476","Production - 112","2063-09-26","2063-09-18","12company",0.0,"833535779e"
"plan7475","Operations - 6","2064-09-22","2063-09-15","6company",0.0,"522899a231"
"plan7474","Purchase - 5","2063-10-24","2063-09-02","5company",0.0,"8e00e89ba6"
"plan7473","Quality Management - 113","2063-11-14","2063-11-10","13company",0.0,"5c9d7b4bbe"
"plan7472","Production - 9","2063-03-27","2063-03-22","9company",0.0,"e40b2db5cf"
"plan7470","Purchase - 114","2063-04-11","2063-04-01","14company",0.0,"f1aefdaab9"
"plan7468","","2064-11-23","2063-09-17","11company",927018.0,"66037b5fbb"
"plan7464","Production - 8","2062-09-28","2061-07-28","8company",1177740.0,"5a07f97eb6"
"plan7463","Sales - 113","2060-11-28","2060-01-28","13company",0.0,"d43dda53e2"
"plan7462","Customer Service - 6","2061-05-20","2059-03-18","6company",647128.0,"e513d30237"
"plan7459","Legal - 9","2061-10-29","2061-08-25","9company",0.0,"a5f2075277"
"plan7455","Purchase - 114","2061-07-29","2061-07-25","14company",1115296.0,"43c248d01e"
"plan7448","Operations - 113","2062-11-11","2061-06-07","13company",0.0,"540c2ad11d"
"plan7444","Dispatch - 113","2062-07-08","2061-07-04","13company",0.0,"008a3ee9f0"
"plan7439","Operations - 117","2062-11-25","2060-10-24","17company",0.0,"fe6316c58c"
"plan7438","Purchase - 4","2061-11-28","2061-11-28","4company",0.0,"e8e7f82c53"
"plan7435","Human Resources - 3","2061-06-25","2061-03-25","3company",747054.0,"a215a7372b"
"plan7432","Sales - 116","2059-09-28","2059-09-23","16company",0.0,"01f65435fa"
"plan7431","","2061-10-26","2061-08-23","11company",0.0,"76703c8b7c"
"plan7430","","2061-10-20","2061-10-08","11company",0.0,"1451178058"
"plan7423","Operations - 110","2060-07-11","2060-07-08","10company",0.0,"4eb1df96b2"
"plan7420","Quality Management - 2","2061-11-25","2060-10-24","2company",945840.0,"3cbbda71c6"
"plan7414","Customer Service - 116","2061-09-26","2061-05-25","16company",0.0,"ab7f972312"
"plan7407","Production - 115","2062-11-16","2060-08-16","15company",0.0,"5ab2ea3de5"
"plan7405","Production - 110","2061-11-26","2061-11-17","10company",877052.0,"8e4cf33ac1"
"plan7403","Research & Development - 110","2059-04-23","2059-01-17","10company",663480.0,"111b660e06"
"plan7399","Quality Management - 113","2061-01-16","2061-01-02","13company",0.0,"155558c486"
"plan7398","Legal - 3","2062-05-22","2061-02-16","3company",0.0,"49e53efafe"
"plan7390","","2059-07-08","2059-04-05","11company",0.0,"6bb3230921"
"plan7389","Marketing - 115","2060-10-28","2060-08-01","15company",0.0,"b7290f14f2"
"plan7388","Legal - 8","2059-06-28","2059-01-22","8company",0.0,"9c31cc2518"
"plan7383","","2062-02-11","2061-01-07","11company",370223.0,"32f9b0c758"
"plan7381","Operations - 114","2060-10-22","2060-01-17","14company",0.0,"659df6bae4"
"plan7378","Dispatch - 8","2061-06-22","2061-04-01","8company",0.0,"7969c42fe6"
"plan7377","Human Resources - 115","2060-11-28","2060-09-21","15company",0.0,"8a7be17e0c"
"plan7370","Research & Development - 113","2061-09-26","2061-09-11","13company",0.0,"d798a70bce"
"plan7367","Dispatch - 116","2059-04-29","2059-02-27","16company",0.0,"4bb0cf932d"
"plan7358","Sales - 9","2062-11-25","2061-10-16","9company",0.0,"e1ea609eca"
"plan7351","Legal - 2","2061-09-09","2061-03-09","2company",0.0,"4388c97264"
"plan7347","Purchase - 7","2060-10-12","2060-08-04","7company",0.0,"b71a1b9e09"
"plan7345","Production - 2","2062-06-18","2061-03-13","2company",645601.0,"db76395c38"
"plan7341","Management - 7","2061-11-17","2061-11-08","7company",838790.0,"22f0cf15a7"
"plan7337","Purchase - 9","2059-06-26","2059-02-19","9company",0.0,"e98f6c1a43"
"plan7334","Marketing - 115","2059-04-20","2059-02-09","15company",0.0,"519c368720"
"plan7323","Dispatch - 3","2062-10-03","2061-06-03","3company",900270.0,"1aec687137"
"plan7313","Management - 114","2060-06-26","2060-05-26","14company",0.0,"fea51baa4d"
"plan7312","Customer Service - 113","2062-05-28","2061-02-11","13company",0.0,"b6e9f4e1db"
"plan7306","Operations - 116","2062-11-26","2061-11-25","16company",489144.0,"d1a0fe1772"
"plan7295","Research & Development - 5","2062-05-25","2061-03-24","5company",289092.0,"afe589621f"
"plan7292","Quality Management - 9","2061-10-19","2061-07-02","9company",0.0,"a94d31003a"
"plan7291","Production - 118","2061-09-24","2061-08-09","18company",0.0,"cfbee19484"
"plan7289","Marketing - 8","2060-11-15","2059-11-08","8company",0.0,"3136ca6cb7"
"plan7287","Marketing - 113","2059-09-18","2059-09-10","13company",0.0,"c84b7c7783"
"plan7282","Quality Management - 115","2062-10-15","2061-10-07","15company",0.0,"69046acb2c"
"plan7278","Production - 113","2061-11-27","2061-11-13","13company",0.0,"9681f95636"
"plan7277","Legal - 117","2059-07-15","2059-04-07","17company",693016.0,"ce3df1da67"
"plan7275","","2061-11-26","2061-11-20","11company",0.0,"e1786645bb"
"plan7272","Purchase - 3","2060-10-20","2060-05-14","3company",646800.0,"b5e66d270b"
"plan7271","Marketing - 112","2061-03-29","2061-03-20","12company",0.0,"fb740968b8"
"plan7270","Production - 116","2062-11-24","2061-09-15","16company",0.0,"00e920ea55"
"plan7265","Marketing - 113","2060-11-24","2060-11-22","13company",621960.0,"030cfdf997"
"plan7262","Production - 9","2060-11-22","2060-07-18","9company",205982.0,"e2f9fa25ee"
"plan7257","Production - 3","2062-11-17","2061-11-10","3company",0.0,"be55a414e3"
"plan7254","","2060-11-28","2060-07-13","11company",0.0,"9801a3b8cf"
"plan7251","Operations - 4","2061-10-22","2061-09-12","4company",0.0,"6fcee13048"
"plan7250","","2061-08-22","2061-08-11","11company",0.0,"ec6cb30546"
"plan7245","Marketing - 4","2059-07-01","2059-02-01","4company",0.0,"c90bc7d2a4"
"plan7238","Management - 114","2059-07-27","2059-07-22","14company",509960.0,"e90156e3a2"
"plan7230","Quality Management - 7","2060-10-23","2060-03-02","7company",1027890.0,"4ca592582a"
"plan7227","Purchase - 9","2061-11-19","2061-11-14","9company",0.0,"c62dcccab4"
"plan7223","Customer Service - 2","2061-03-24","2061-01-20","2company",313536.0,"839d87cf65"
"plan7220","Management - 4","2061-11-29","2061-10-28","4company",0.0,"1f02ef42e7"
"plan7217","Operations - 115","2061-05-20","2060-03-17","15company",0.0,"29a5bcae95"
"plan7215","Research & Development - 116","2062-11-22","2060-10-07","16company",0.0,"e6bdb7b4e5"
"plan7214","Legal - 112","2060-10-28","2060-08-03","12company",0.0,"2650066d9f"
"plan7209","Operations - 9","2061-07-15","2061-03-10","9company",0.0,"d614c67d63"
"plan7207","Purchase - 1","2060-11-29","2060-10-29","1company",0.0,"b72d398bc3"
"plan7205","Management - 115","2060-10-29","2060-08-07","15company",410432.0,"11eb167b7d"
"plan7204","Management - 116","2061-11-26","2061-11-09","16company",0.0,"77882e4059"
"plan7199","Quality Management - 116","2062-10-27","2062-10-25","16company",0.0,"74a6939f3f"
"plan7197","Management - 3","2063-07-23","2063-05-17","3company",0.0,"864e36d9d4"
"plan7196","Dispatch - 5","2063-07-28","2063-07-11","5company",0.0,"d58ce71adb"
"plan7195","Sales - 1","2063-11-29","2063-08-27","1company",886466.0,"e5e8e002b4"
"plan7194","Marketing - 8","2063-11-26","2063-11-13","8company",511000.0,"65fc8670a7"
"plan7193","Operations - 113","2062-11-14","2062-11-10","13company",200304.0,"066d48a882"
"plan7192","Human Resources - 116","2062-11-28","2062-05-24","16company",0.0,"a78f8dc186"
"plan7191","Purchase - 110","2062-10-21","2062-04-20","10company",270093.0,"e29fc9ef0f"
"plan7190","Research & Development - 118","2062-09-24","2062-06-10","18company",0.0,"111c537af9"
"plan7189","Production - 112","2062-11-22","2062-08-21","12company",330516.0,"23eb9dd529"
"plan7185","Operations - 117","2063-11-27","2063-09-22","17company",0.0,"792d39feb5"
"plan7184","Purchase - 116","2061-10-13","2061-10-10","16company",0.0,"ef977dcd59"
"plan7183","Quality Management - 110","2062-08-23","2061-08-22","10company",0.0,"f759b48120"
"plan7182","Marketing - 7","2061-11-23","2061-10-23","7company",0.0,"511f73c957"
"plan7181","Management - 110","2062-11-28","2062-11-27","10company",245492.0,"f46b7a2020"
"plan7180","Marketing - 117","2062-11-28","2062-07-27","17company",0.0,"efe57bf8ba"
"plan7179","Purchase - 110","2062-03-09","2062-01-01","10company",344793.0,"8d3ec84473"
"plan7178","Sales - 115","2063-10-14","2063-08-06","15company",0.0,"629aa4409d"
"plan7177","","2063-05-29","2063-05-13","11company",0.0,"7e204fc001"
"plan7174","Marketing - 9","2063-10-19","2063-07-13","9company",0.0,"b556e4a2b0"
"plan7173","Customer Service - 117","2061-09-15","2061-09-13","17company",0.0,"dfc8a776ff"
"plan7171","Sales - 114","2061-09-11","2061-09-07","14company",0.0,"08c828c6cf"
"plan7170","Customer Service - 1","2062-11-11","2062-08-04","1company",328552.0,"7c82ffd62f"
"plan7169","Quality Management - 4","2062-03-29","2062-03-29","4company",0.0,"40286cd255"
"plan7168","Marketing - 2","2062-11-10","2062-07-02","2company",0.0,"959c137ab3"
"plan7165","Dispatch - 115","2063-10-24","2063-05-17","15company",0.0,"612b5fc792"
"plan7164","Research & Development - 3","2063-11-29","2063-01-02","3company",0.0,"24bc39deb4"
"plan7163","Human Resources - 110","2062-03-29","2061-03-17","10company",331965.0,"61491ab8e4"
"plan7154","Sales - 4","2062-10-08","2061-09-08","4company",546840.0,"19071dc6fe"
"plan7152","Production - 3","2063-11-16","2063-11-11","3company",0.0,"c3daafc4b4"
"plan7149","Marketing - 115","2062-10-28","2062-08-12","15company",0.0,"620aeaf82f"
"plan7134","Research & Development - 6","2061-07-28","2061-02-07","6company",0.0,"233904933c"
"plan7127","Management - 110","2062-11-24","2062-11-22","10company",0.0,"fdf43a0693"
"plan7162","Production - 9","2062-09-17","2062-09-06","9company",142822.0,"ead1c307a7"
"plan7161","Customer Service - 2","2061-09-10","2061-09-10","2company",1395390.0,"c2aca2d1ae"
"plan7160","Quality Management - 110","2062-08-21","2062-06-05","10company",187200.0,"9ffd1e3477"
"plan7159","Production - 7","2061-08-27","2061-06-15","7company",879612.0,"69f811e3ba"
"plan7158","Human Resources - 4","2063-09-23","2063-09-07","4company",0.0,"186d195c36"
"plan7157","Human Resources - 113","2063-07-17","2063-01-02","13company",0.0,"f7e2cc6645"
"plan7156","Dispatch - 110","2062-10-28","2061-09-21","10company",110060.0,"859b5f150a"
"plan7153","Quality Management - 5","2062-11-29","2062-11-26","5company",0.0,"9869e194b4"
"plan7151","Marketing - 5","2062-09-28","2062-03-28","5company",0.0,"abda66cf1e"
"plan7150","Sales - 117","2062-10-22","2062-05-22","17company",0.0,"decd3f78af"
"plan7148","Customer Service - 4","2063-05-24","2063-01-08","4company",294016.0,"68f7d2fcd9"
"plan7147","Dispatch - 117","2061-09-25","2061-01-25","17company",0.0,"c90edf86ab"
"plan7146","Management - 7","2063-11-22","2063-11-13","7company",983367.0,"a3e1e776e0"
"plan7145","Human Resources - 117","2063-11-29","2063-01-28","17company",555672.0,"262efeeb31"
"plan7144","Production - 112","2062-11-27","2062-11-27","12company",242470.0,"f667e1568f"
"plan7143","Management - 4","2063-05-28","2063-01-26","4company",800760.0,"bd89eab9d8"
"plan7142","Human Resources - 4","2063-08-22","2063-07-22","4company",590387.0,"bea59d4b78"
"plan7141","Sales - 115","2061-02-23","2061-01-09","15company",280428.0,"df180fb5f5"
"plan7140","Sales - 1","2062-11-27","2062-02-27","1company",492032.0,"69ba9abbd9"
"plan7139","Legal - 110","2061-10-29","2061-09-01","10company",740278.0,"6f547a0cab"
"plan7138","Human Resources - 113","2063-07-24","2063-03-08","13company",0.0,"6be8a0909e"
"plan7136","Customer Service - 3","2061-11-17","2061-11-04","3company",775719.0,"457c9bc3b3"
"plan7135","Production - 112","2061-08-29","2061-07-12","12company",0.0,"4c17c32744"
"plan7133","Research & Development - 118","2062-08-28","2062-04-27","18company",378474.0,"9016c3b500"
"plan7132","Human Resources - 115","2062-03-20","2061-02-10","15company",497768.0,"f2e7461138"
"plan7131","Operations - 113","2063-11-27","2063-11-23","13company",785440.0,"ab403268d8"
"plan7130","Customer Service - 112","2062-10-17","2061-01-12","12company",312900.0,"7681063560"
"plan7129","Legal - 112","2063-09-29","2063-09-16","12company",944649.0,"1e7587f767"
"plan7128","Purchase - 4","2062-03-15","2062-02-02","4company",0.0,"0160a6b7f0"
"plan7126","Management - 8","2062-09-27","2062-04-07","8company",561350.0,"13936dca85"
"plan7125","Operations - 9","2062-11-29","2062-06-28","9company",0.0,"73badd1080"
"plan7124","Operations - 112","2062-04-27","2062-02-16","12company",0.0,"df5f284a8b"
"plan7122","Legal - 7","2062-11-26","2062-08-24","7company",1098027.0,"b87f68a709"
"plan7121","Production - 5","2063-10-23","2063-10-03","5company",0.0,"1817d8e238"
"plan7120","Operations - 115","2063-06-20","2063-04-12","15company",0.0,"89808d61f1"
"plan7119","Human Resources - 5","2062-09-27","2062-04-25","5company",0.0,"70f51d340c"
"plan7118","Quality Management - 2","2061-10-27","2061-10-18","2company",879780.0,"eed56e4dd8"
"plan7114","Customer Service - 3","2061-09-27","2061-04-15","3company",0.0,"1d36b03323"
"plan7113","Management - 114","2061-09-16","2061-09-15","14company",0.0,"43574b174f"
"plan7111","Sales - 118","2062-11-27","2062-11-10","18company",0.0,"27a4146b68"
"plan7110","Production - 118","2063-09-27","2063-08-24","18company",0.0,"de2556397e"
"plan7109","Quality Management - 8","2063-09-24","2063-09-22","8company",0.0,"69cf717e45"
"plan7106","Production - 3","2062-09-21","2062-07-14","3company",0.0,"dc0a57e075"
"plan7105","Purchase - 113","2062-11-24","2061-09-18","13company",0.0,"86829c4a9c"
"plan7104","Sales - 5","2062-09-29","2062-04-29","5company",1158100.0,"8a01a624b1"
"plan7101","Research & Development - 5","2061-06-27","2061-02-27","5company",1000000.0,"58a4f77ea2"
"plan7100","Human Resources - 114","2062-08-26","2062-05-12","14company",360834.0,"7df5ffc86c"
"plan7099","Operations - 8","2062-05-24","2061-05-24","8company",0.0,"0ea7c61263"
"plan7098","Purchase - 118","2063-07-29","2063-03-20","18company",0.0,"41d9e124c2"
"plan7095","Operations - 110","2062-11-18","2062-09-02","10company",522768.0,"7317f23341"
"plan7094","Dispatch - 2","2063-08-22","2063-06-20","2company",0.0,"a0e6454719"
"plan7093","Quality Management - 115","2062-08-06","2061-08-01","15company",425235.0,"7d9c449c27"
"plan7092","Dispatch - 8","2062-11-21","2062-06-10","8company",711468.0,"26fb69d7c2"
"plan7091","Research & Development - 1","2062-09-11","2062-06-03","1company",850782.0,"eb76db410d"
"plan7090","Sales - 9","2063-09-28","2063-08-26","9company",432350.0,"12de2713e7"
"plan7089","Customer Service - 7","2062-08-06","2061-05-02","7company",131734.0,"fbb4760f41"
"plan7088","Quality Management - 2","2063-09-26","2063-08-12","2company",1271160.0,"2bc27ac33d"
"plan7087","Legal - 3","2061-08-29","2061-04-10","3company",611910.0,"159928d9c9"
"plan7086","Dispatch - 117","2063-11-26","2063-10-20","17company",795410.0,"a52a72fe31"
"plan7085","Research & Development - 112","2063-07-18","2063-05-15","12company",0.0,"b8ac59d279"
"plan7084","Legal - 117","2061-08-29","2061-07-29","17company",0.0,"c5230594f9"
"plan7083","Marketing - 7","2063-10-25","2063-02-22","7company",795500.0,"2fdd09207b"
"plan7081","Purchase - 4","2063-06-12","2063-04-03","4company",0.0,"d7f6ed8830"
"plan7080","Sales - 3","2062-10-17","2062-09-11","3company",1464180.0,"3798b33256"
