"ID","ID (Staffing Plan Detail)","Designation (Staffing Plan Detail)","Estimated Cost Per Position (Staffing Plan Detail)","Vacancies (Staffing Plan Detail)","Total Estimated Cost (Staffing Plan Detail)","Current Openings (Staffing Plan Detail)","Current Count (Staffing Plan Detail)","Number Of Positions (Staffing Plan Detail)"
"plan6681","73877cca8c","Analyst",73664.0,0,0.0,0,0,0
"plan6680","827dc45ce1","Project Manager",137962.0,4,551848.0,0,0,4
"plan6678","f56253091b","Head of Marketing and Sales",86018.0,0,0.0,0,0,0
"plan6677","8d6fa15b5c","Project Manager",74259.0,4,297036.0,0,0,4
"plan6676","f98b942c09","Head of Marketing and Sales",108466.0,3,325398.0,0,0,3
"plan6675","cfd5c969e1","Accountant",73852.0,0,0.0,0,0,0
"plan6673","c1b7c4f8eb","Head of Marketing and Sales",133722.0,4,534888.0,0,0,4
"plan6672","10556e76d9","Project Manager",130842.0,5,654210.0,0,0,5
"plan6671","00569e32f3","Administrative Officer",59236.0,0,0.0,0,0,0
"plan6669","541b94647b","Designer",149836.0,0,0.0,0,0,0
"plan6668","d6bddaf2aa","Project Manager",78142.0,11,859562.0,0,0,11
"plan6667","1c607da4ac","Engineer",63739.0,0,0.0,0,0,0
"plan6666","e36fd367b1","Project Manager",106224.0,4,424896.0,0,0,4
"plan6665","23eb077280","Accountant",85718.0,8,685744.0,0,0,8
"plan6664","3fb0be0df4","Researcher",118775.0,11,1306525.0,0,0,11
"plan6663","1fe3b861de","Project Manager",73832.0,0,0.0,0,0,0
"plan6661","9f9c4390ca","Engineer",53592.0,0,0.0,0,0,0
"plan6660","3ab00d894d","Engineer",125437.0,10,1254370.0,0,0,10
"plan6659","3de98afe06","Head of Marketing and Sales",124368.0,3,373104.0,0,0,3
"plan6658","1bf4b50a54","Administrative Officer",110871.0,0,0.0,0,0,0
"plan6657","f07cdc9566","Analyst",58479.0,8,467832.0,0,0,8
"plan6656","21c80380f1","Engineer",117147.0,0,0.0,0,0,0
"plan6654","63d1cc1523","Head of Marketing and Sales",72226.0,7,505582.0,0,0,7
"plan6653","51be94dd89","Accountant",70542.0,0,0.0,0,0,0
"plan6652","dcb14c23ba","Head of Marketing and Sales",100878.0,10,1008780.0,0,0,10
"plan6651","5eb0208d44","Business Development Manager",115508.0,0,0.0,0,0,0
"plan6650","7b3aeca383","HR Manager",118898.0,0,0.0,0,0,0
"plan6649","85219bfef5","Researcher",112399.0,9,1011591.0,0,0,9
"plan6648","86c6220348","Software Developer",83622.0,0,0.0,0,0,0
"plan6647","804618caea","Designer",105930.0,0,0.0,0,0,0
"plan6646","6f60c93bcc","Administrative Officer",112138.0,0,0.0,0,0,0
"plan6645","c28131f686","Analyst",112141.0,0,0.0,0,0,0
"plan6644","8310d96b2c","Associate",100071.0,0,0.0,0,0,0
"plan6642","c17d0f82e7","Accountant",54295.0,9,488655.0,0,0,9
"plan6641","b816431173","Secretary",105437.0,9,948933.0,0,0,9
"plan6640","3e488454ee","Engineer",148645.0,11,1635095.0,0,0,11
"plan6638","bc8d04b97e","Researcher",120285.0,8,962280.0,0,0,8
"plan6637","c8f3337dfd","Associate",64930.0,0,0.0,0,0,0
"plan6634","5227eef582","Researcher",84356.0,0,0.0,0,0,0
"plan6633","04d9c48391","Administrative Officer",61588.0,0,0.0,0,0,0
"plan6632","b41d537ad1","Associate",139177.0,0,0.0,0,0,0
"plan6631","618bec1b8b","HR Manager",136228.0,10,1362280.0,0,0,10
"plan6629","6d9dfa7918","Project Manager",84430.0,0,0.0,0,0,0
"plan6628","b4ea30e058","Administrative Officer",63858.0,0,0.0,0,0,0
"plan6627","b5b558909a","Head of Marketing and Sales",98256.0,0,0.0,0,0,0
"plan6626","11edb79cd2","Researcher",59925.0,5,299625.0,0,0,5
"plan6624","f91b42807a","Project Manager",133555.0,5,667775.0,0,0,5
"plan6623","8a87d25290","Administrative Officer",94859.0,7,664013.0,0,0,7
"plan6622","8ee9124b65","Secretary",128177.0,8,1025416.0,0,0,8
"plan6621","5a60746c88","Head of Marketing and Sales",88732.0,4,354928.0,0,0,4
"plan6620","e53cf818a6","Administrative Officer",97902.0,7,685314.0,0,0,7
"plan6619","58d69f512f","Accountant",101749.0,9,915741.0,0,0,9
"plan6617","f1407224fa","Business Development Manager",90086.0,11,990946.0,0,0,11
"plan6616","e1c380bbca","Business Development Manager",145207.0,0,0.0,0,0,0
"plan6615","2e2da2c7f0","Researcher",126693.0,3,380079.0,0,0,3
"plan6614","5d71881865","Associate",92400.0,11,1016400.0,0,0,11
"plan6613","73d556c468","Researcher",79335.0,0,0.0,0,0,0
"plan6611","8ea0a00c26","Accountant",61724.0,10,617240.0,0,0,10
"plan6610","1aeb85f2c2","Business Development Manager",95515.0,8,764120.0,0,0,8
"plan6609","3c2d1c5eaf","Engineer",121801.0,0,0.0,0,0,0
"plan6606","29acac6220","HR Manager",65486.0,4,261944.0,0,0,4
"plan6604","8e383f05f6","Software Developer",64329.0,0,0.0,0,0,0
"plan6603","f3a3a717f1","Designer",91603.0,2,183206.0,0,0,2
"plan6601","13101fc2dc","Researcher",104834.0,2,209668.0,0,0,2
"plan6600","c18145fcb4","Administrative Officer",90473.0,0,0.0,0,0,0
"plan6599","a873ed439a","Engineer",131894.0,5,659470.0,0,0,5
"plan6597","e1bdde617b","Accountant",63613.0,8,508904.0,0,0,8
"plan6593","a96f381898","Researcher",110555.0,9,994995.0,0,0,9
"plan6591","d399f65b14","Researcher",84228.0,0,0.0,0,0,0
"plan6590","12e55dca8b","Project Manager",123011.0,5,615055.0,0,0,5
"plan6589","4187aa4ccc","Engineer",82931.0,10,829310.0,0,0,10
"plan6588","3b772fb9df","Administrative Officer",81145.0,0,0.0,0,0,0
"plan6584","88dc53dd0e","Head of Marketing and Sales",117315.0,5,586575.0,0,0,5
"plan6583","148bfda610","Business Development Manager",131988.0,0,0.0,0,0,0
"plan6582","f53b4e1ed7","HR Manager",118734.0,10,1187340.0,0,0,10
"plan6581","03ebd6261c","Analyst",109287.0,11,1202157.0,0,0,11
"plan6580","c15d342c2a","HR Manager",67277.0,0,0.0,0,0,0
"plan6579","4955c7c963","Project Manager",138665.0,11,1525315.0,0,0,11
"plan6578","b656c770fa","Project Manager",51480.0,7,360360.0,0,0,7
"plan6577","a8b50a66a0","Researcher",98442.0,0,0.0,0,0,0
"plan6576","f7a621790d","Analyst",135225.0,10,1352250.0,0,0,10
"plan6575","317f183cff","Researcher",136695.0,4,546780.0,0,0,4
"plan6574","9fc2bdf87a","Head of Marketing and Sales",70825.0,3,212475.0,0,0,3
"plan6573","91a27969fd","Researcher",97879.0,0,0.0,0,0,0
"plan6572","e555fc6c49","Engineer",132595.0,0,0.0,0,0,0
"plan6570","000b426d71","Accountant",128658.0,4,514632.0,0,0,4
"plan6569","c1c2a03970","Head of Marketing and Sales",88418.0,0,0.0,0,0,0
"plan6568","c4e1b24ca6","Accountant",91635.0,5,458175.0,0,0,5
"plan6566","607b3c46c2","Administrative Officer",77372.0,10,773720.0,0,0,10
"plan6565","b1c45540c2","Analyst",83349.0,10,833490.0,0,0,10
"plan6564","f8da38f905","Associate",55961.0,0,0.0,0,0,0
"plan6563","0e5d88688b","Engineer",77013.0,0,0.0,0,0,0
"plan6562","50ebf06c62","Administrative Officer",53704.0,2,107408.0,0,0,2
"plan6561","bb41843be8","Analyst",137375.0,2,274750.0,0,0,2
"plan6560","7f9462181a","Business Development Manager",145239.0,11,1597629.0,0,0,11
"plan6559","0d4949fd66","Researcher",55656.0,3,166968.0,0,0,3
"plan6558","fcb21a3c4e","Analyst",124678.0,8,997424.0,0,0,8
"plan6557","f7497fcbc3","Analyst",133949.0,0,0.0,0,0,0
"plan6556","b26cc46eaf","Administrative Officer",80394.0,0,0.0,0,0,0
"plan6554","e15241d900","Administrative Officer",52422.0,0,0.0,0,0,0
"plan6553","05d232e775","Accountant",90782.0,7,635474.0,0,0,7
"plan6552","d08e3199bc","Engineer",75635.0,3,226905.0,0,0,3
"plan6551","982c11ab0c","Project Manager",66288.0,11,729168.0,0,0,11
"plan6550","ee34877339","HR Manager",59641.0,8,477128.0,0,0,8
"plan6549","034d9ef977","Analyst",62645.0,3,187935.0,0,0,3
"plan6548","586eb2ba59","Analyst",99999.0,0,0.0,0,0,0
"plan6546","4f03ff4015","Designer",67273.0,0,0.0,0,0,0
"plan6545","ca401a8586","Designer",51949.0,4,207796.0,0,0,4
"plan6544","981ff74825","Business Development Manager",78697.0,4,314788.0,0,0,4
"plan6543","9841869732","Analyst",113276.0,2,226552.0,0,0,2
"plan6542","5059fd1806","Business Development Manager",77676.0,0,0.0,0,0,0
"plan6541","2ab31610ba","Administrative Officer",112244.0,0,0.0,0,0,0
"plan6539","21727cfd9b","Accountant",139201.0,10,1392010.0,0,0,10
"plan6538","ce1026f0b2","Business Development Manager",118601.0,4,474404.0,0,0,4
"plan6537","ac55f7ee80","Researcher",91358.0,6,548148.0,0,0,6
"plan6536","caca3f9e67","HR Manager",55112.0,6,330672.0,0,0,6
"plan6535","63d5307098","Business Development Manager",116635.0,2,233270.0,0,0,2
"plan6534","975e941ee3","Secretary",82218.0,4,328872.0,0,0,4
"plan6533","8cce46fae4","Accountant",130082.0,9,1170738.0,0,0,9
"plan6532","c9238271f9","Project Manager",95644.0,0,0.0,0,0,0
"plan6531","d12a8c72e3","Engineer",140485.0,0,0.0,0,0,0
"plan6528","8a947dddcb","Associate",78715.0,0,0.0,0,0,0
"plan6527","38e7723658","Engineer",109042.0,2,218084.0,0,0,2
"plan6526","c925c56f69","Software Developer",130124.0,4,520496.0,0,0,4
"plan6525","12e083883a","Designer",149024.0,2,298048.0,0,0,2
"plan6524","4a23f21453","Accountant",56429.0,0,0.0,0,0,0
"plan6523","ddcdd1e93b","Designer",53642.0,5,268210.0,0,0,5
"plan6522","701ef8a448","Administrative Officer",68481.0,0,0.0,0,0,0
"plan6521","c47d2132fe","Head of Marketing and Sales",87116.0,0,0.0,0,0,0
"plan6520","aba73b9121","Business Development Manager",138204.0,0,0.0,0,0,0
"plan6519","ffc1ecc496","Accountant",54360.0,7,380520.0,0,0,7
"plan6518","370ed81940","Researcher",66670.0,4,266680.0,0,0,4
"plan6517","6ac4e4f76c","Business Development Manager",79272.0,11,871992.0,0,0,11
"plan6516","f507b73b94","Designer",127181.0,0,0.0,0,0,0
"plan6515","3e1cd921e7","Business Development Manager",74463.0,7,521241.0,0,0,7
"plan6514","4dcc6bdda8","Business Development Manager",93604.0,0,0.0,0,0,0
"plan6513","e9310f6d96","Administrative Officer",136563.0,11,1502193.0,0,0,11
"plan6511","894cec4d5b","Designer",135965.0,0,0.0,0,0,0
"plan6509","09659c299e","Accountant",61278.0,0,0.0,0,0,0
"plan6508","290547dacc","Administrative Officer",135282.0,0,0.0,0,0,0
"plan6507","269fe384f0","Engineer",143333.0,0,0.0,0,0,0
"plan6506","65a1e9ad21","Associate",124329.0,0,0.0,0,0,0
"plan6504","d06b6513fc","Engineer",95257.0,0,0.0,0,0,0
"plan6502","2caf5d544f","Designer",139900.0,10,1399000.0,0,0,10
"plan6501","b9803e2371","Analyst",129842.0,3,389526.0,0,0,3
"plan6500","6f049ea8af","HR Manager",106744.0,11,1174184.0,0,0,11
"plan6498","34078a0912","Engineer",125719.0,2,251438.0,0,0,2
"plan6495","6fe705c2b5","Associate",96128.0,11,1057408.0,0,0,11
"plan6494","f557bf0f3e","Designer",143494.0,6,860964.0,0,0,6
"plan6492","7b4d8de2a9","Researcher",134561.0,8,1076488.0,0,0,8
"plan6491","ea12f958b2","Administrative Officer",143276.0,0,0.0,0,0,0
"plan6489","2b5b19d668","HR Manager",144160.0,4,576640.0,0,0,4
"plan6487","e47b313e4c","Head of Marketing and Sales",94146.0,9,847314.0,0,0,9
"plan6486","05e49111d9","Analyst",93142.0,0,0.0,0,0,0
"plan6482","cb8ac07f1c","Engineer",135561.0,11,1491171.0,0,0,11
"plan6479","5ca3bd5452","Project Manager",102407.0,3,307221.0,0,0,3
"plan6473","064687c25e","Associate",117719.0,0,0.0,0,0,0
"plan6470","3b5852378f","Designer",115524.0,0,0.0,0,0,0
"plan6469","b4f779498e","Accountant",126462.0,0,0.0,0,0,0
"plan6468","3960804d96","Secretary",141007.0,8,1128056.0,0,0,8
"plan6467","e917591d48","Administrative Officer",67134.0,0,0.0,0,0,0
"plan6466","8ba99300ef","Secretary",121769.0,0,0.0,0,0,0
"plan6464","391ace8f1b","Engineer",94414.0,7,660898.0,0,0,7
"plan6463","cb3f2146a4","Head of Marketing and Sales",130836.0,5,654180.0,0,0,5
"plan6462","7d787aee98","Software Developer",137418.0,5,687090.0,0,0,5
"plan6461","0eaffca083","Secretary",52297.0,7,366079.0,0,0,7
"plan6459","b37976e1d6","Software Developer",99968.0,11,1099648.0,0,0,11
"plan6457","dd491d040e","Head of Marketing and Sales",83601.0,0,0.0,0,0,0
"plan6456","3192169a6c","Secretary",100233.0,0,0.0,0,0,0
"plan6455","059d2c1bb6","Analyst",94217.0,0,0.0,0,0,0
"plan6453","920d7b3c84","Administrative Officer",73444.0,0,0.0,0,0,0
"plan6451","44517e49d1","Secretary",129451.0,2,258902.0,0,0,2
"plan6447","f6d46d1ee6","Associate",87749.0,0,0.0,0,0,0
"plan6446","04758eeda0","Business Development Manager",60204.0,3,180612.0,0,0,3
"plan6445","e1c0085003","Project Manager",65429.0,0,0.0,0,0,0
"plan6439","ccf6144cac","Secretary",92612.0,0,0.0,0,0,0
"plan6438","eb719d96a7","Software Developer",59255.0,0,0.0,0,0,0
"plan6437","d7b3bcbb50","Business Development Manager",93129.0,0,0.0,0,0,0
"plan6434","6dc57542cd","Accountant",115310.0,0,0.0,0,0,0
"plan6433","ab9251b332","Secretary",88548.0,9,796932.0,0,0,9
"plan6432","e6b346052a","Administrative Officer",102226.0,0,0.0,0,0,0
"plan6431","bb40c34772","Secretary",87075.0,0,0.0,0,0,0
"plan6430","122f982fb9","Analyst",121680.0,0,0.0,0,0,0
"plan6428","ed52d51bb2","Administrative Officer",111073.0,8,888584.0,0,0,8
"plan6427","4500b220bd","Designer",125944.0,3,377832.0,0,0,3
"plan6425","d7a8a1c548","Software Developer",51626.0,0,0.0,0,0,0
"plan6423","6bf9ed9e76","Engineer",124786.0,6,748716.0,0,0,6
"plan6422","6e3568c792","Designer",141952.0,8,1135616.0,0,0,8
"plan6419","9589bda71a","Administrative Officer",62474.0,0,0.0,0,0,0
"plan6416","9940126116","Secretary",110941.0,6,665646.0,0,0,6
"plan6415","2df4e0d872","Researcher",140586.0,0,0.0,0,0,0
"plan6413","dbe7c7abc9","Project Manager",73452.0,11,807972.0,0,0,11
"plan6408","fb29c906ff","Software Developer",136973.0,4,547892.0,0,0,4
"plan6407","db47e25ac2","Analyst",59611.0,11,655721.0,0,0,11
"plan6405","f850d8da0f","Designer",64761.0,0,0.0,0,0,0
"plan6403","ba4242d148","Engineer",127721.0,0,0.0,0,0,0
"plan6402","dcdf373d08","Designer",75776.0,0,0.0,0,0,0
"plan6401","8c0062edb9","Software Developer",116961.0,6,701766.0,0,0,6
"plan6398","9454323e5f","HR Manager",141837.0,0,0.0,0,0,0
"plan6396","43b39d44d5","HR Manager",120163.0,11,1321793.0,0,0,11
"plan6393","776773331a","Business Development Manager",50906.0,0,0.0,0,0,0
"plan6390","9219c85d97","Researcher",136034.0,2,272068.0,0,0,2
"plan6388","9f824d5a72","Engineer",87206.0,4,348824.0,0,0,4
"plan6385","ffca36d5d2","HR Manager",147973.0,9,1331757.0,0,0,9
"plan6384","899c2d9fb9","Project Manager",140709.0,0,0.0,0,0,0
"plan6383","d38d6c6018","Administrative Officer",110826.0,10,1108260.0,0,0,10
"plan6380","01987de713","HR Manager",51265.0,0,0.0,0,0,0
"plan6379","129636c757","Analyst",131671.0,2,263342.0,0,0,2
"plan6378","598efb9ed6","Accountant",67569.0,3,202707.0,0,0,3
"plan6377","43d4e44ec5","Secretary",89940.0,11,989340.0,0,0,11
"plan6375","81d5c31310","Head of Marketing and Sales",54545.0,8,436360.0,0,0,8
"plan6374","c5606887f0","Designer",78496.0,0,0.0,0,0,0
"plan6373","61dc31bd53","Business Development Manager",118279.0,0,0.0,0,0,0
"plan6372","3856deb51e","Designer",78668.0,3,236004.0,0,0,3
"plan6371","97c76929b8","HR Manager",132298.0,0,0.0,0,0,0
"plan6368","56557b2a37","Researcher",133501.0,6,801006.0,0,0,6
"plan6367","e89b95e04d","Administrative Officer",53433.0,2,106866.0,0,0,2
"plan6366","0afd50b78e","Business Development Manager",87373.0,6,524238.0,0,0,6
"plan6365","6bef588ecb","Business Development Manager",149764.0,0,0.0,0,0,0
"plan6364","ca8710aa7a","Project Manager",98503.0,0,0.0,0,0,0
"plan6359","386f85acb3","Project Manager",82690.0,0,0.0,0,0,0
"plan6357","47c9d7afb4","Designer",98312.0,0,0.0,0,0,0
"plan6356","360df7d990","Associate",115548.0,0,0.0,0,0,0
"plan6354","511eecce67","HR Manager",109694.0,0,0.0,0,0,0
"plan6352","34e5e231e6","Analyst",127578.0,0,0.0,0,0,0
"plan6349","1419520c97","Software Developer",147966.0,0,0.0,0,0,0
"plan6346","4d185f552c","Administrative Officer",112770.0,0,0.0,0,0,0
"plan6340","22652d4f77","Accountant",119100.0,10,1191000.0,0,0,10
"plan6339","67b7e12386","Accountant",87832.0,11,966152.0,0,0,11
"plan6338","4681ec18a6","Head of Marketing and Sales",129347.0,0,0.0,0,0,0
"plan6336","05c1f790de","Administrative Officer",132881.0,0,0.0,0,0,0
"plan6335","25ac879a19","Head of Marketing and Sales",147222.0,0,0.0,0,0,0
"plan6331","e0f80b8424","Designer",68192.0,0,0.0,0,0,0
"plan6328","8598794ae5","Head of Marketing and Sales",113794.0,6,682764.0,0,0,6
"plan6327","8955647bfd","Software Developer",95238.0,0,0.0,0,0,0
"plan6324","322cb41d2d","Designer",59170.0,8,473360.0,0,0,8
"plan6323","4ce8dd2f8f","Accountant",75420.0,0,0.0,0,0,0
"plan6322","04a0873c51","Researcher",79292.0,9,713628.0,0,0,9
"plan6318","5a34aa8b09","Project Manager",96063.0,8,768504.0,0,0,8
"plan6317","cbe577efae","Analyst",128983.0,0,0.0,0,0,0
"plan6316","6f10541517","Project Manager",62864.0,5,314320.0,0,0,5
"plan6314","b96ac612d6","Administrative Officer",126395.0,11,1390345.0,0,0,11
"plan6313","98c57759ab","Software Developer",80935.0,0,0.0,0,0,0
"plan6311","54191663f9","Administrative Officer",133705.0,0,0.0,0,0,0
"plan6308","32f3fb2057","Head of Marketing and Sales",108142.0,3,324426.0,0,0,3
"plan6307","406d8dc184","Accountant",119463.0,4,477852.0,0,0,4
"plan6306","c436142e0b","Researcher",65246.0,0,0.0,0,0,0
"plan6304","e0a8ea76fd","HR Manager",50693.0,0,0.0,0,0,0
"plan6300","09b175411c","Project Manager",115094.0,3,345282.0,0,0,3
"plan6299","1d74f79696","Associate",81820.0,0,0.0,0,0,0
"plan6297","012325ced0","Business Development Manager",83129.0,8,665032.0,0,0,8
"plan6296","b0118483f7","Head of Marketing and Sales",85842.0,0,0.0,0,0,0
"plan6295","d28bda3de6","Administrative Officer",80109.0,7,560763.0,0,0,7
"plan6294","1c5b8ab1ae","Project Manager",78287.0,0,0.0,0,0,0
"plan6292","0fbd140b1d","HR Manager",53312.0,6,319872.0,0,0,6
"plan6289","37653247b3","Project Manager",50282.0,0,0.0,0,0,0
"plan6288","76f0c272aa","Head of Marketing and Sales",106994.0,0,0.0,0,0,0
"plan6286","28569feb21","Designer",74692.0,6,448152.0,0,0,6
"plan6285","b3daee91f3","HR Manager",120528.0,0,0.0,0,0,0
"plan6282","cc60bb3efc","Analyst",119405.0,0,0.0,0,0,0
"plan6280","b9b49c6b0d","Business Development Manager",118935.0,0,0.0,0,0,0
"plan6278","b401b99373","Engineer",103385.0,0,0.0,0,0,0
"plan6276","59884b64a5","Software Developer",116563.0,7,815941.0,0,0,7
"plan6275","9ed986a43b","Software Developer",71967.0,0,0.0,0,0,0
"plan6274","b29d7a32f5","Analyst",100720.0,3,302160.0,0,0,3
"plan6273","5b5cf2095b","Administrative Officer",109597.0,7,767179.0,0,0,7
"plan6272","383efd4912","Designer",63329.0,0,0.0,0,0,0
"plan6270","19f107e39c","Business Development Manager",83351.0,3,250053.0,0,0,3
"plan6263","ea83f3c599","Analyst",95461.0,0,0.0,0,0,0
"plan6262","096ecf3431","Administrative Officer",141759.0,0,0.0,0,0,0
"plan6260","add181786c","Researcher",64613.0,4,258452.0,0,0,4
"plan6259","47aab6780b","Accountant",96453.0,0,0.0,0,0,0
"plan6258","44d8e4f091","HR Manager",85974.0,0,0.0,0,0,0
"plan6257","268061bd22","Engineer",100099.0,0,0.0,0,0,0
"plan6254","772173598f","Administrative Officer",67525.0,0,0.0,0,0,0
"plan6251","092e01b1f0","Associate",128972.0,0,0.0,0,0,0
"plan6250","3579522629","Software Developer",0.0,9,0.0,0,0,9
"plan6253","26b7ba3bbd","Analyst",104164.0,0,0.0,0,0,0
"plan6249","f1a7c2ebc0","Project Manager",94925.0,0,0.0,0,0,0
"plan6247","42bd89c197","Analyst",114433.0,4,457732.0,0,0,4
"plan6246","bd7d00790f","Administrative Officer",102429.0,11,1126719.0,0,0,11
"plan6245","bb3252449c","Software Developer",147308.0,3,441924.0,0,0,3
"plan6244","2a9908cd98","Secretary",123383.0,9,1110447.0,0,0,9
"plan6243","56c347b2b7","Analyst",145642.0,2,291284.0,0,0,2
"plan6242","39fc1a8b12","Designer",94882.0,0,0.0,0,0,0
"plan6241","9d1de80583","Associate",96402.0,6,578412.0,0,0,6
"plan6240","76bc840380","HR Manager",90865.0,0,0.0,0,0,0
"plan6237","98c8330148","Associate",56227.0,0,0.0,0,0,0
"plan6236","87d34e2d20","HR Manager",137887.0,0,0.0,0,0,0
"plan6235","965c4d835d","Business Development Manager",116476.0,0,0.0,0,0,0
"plan6234","74189464cf","Head of Marketing and Sales",51219.0,6,307314.0,0,0,6
"plan6231","bbfa4f0c35","HR Manager",79992.0,0,0.0,0,0,0
"plan6229","157e1a7c3c","Secretary",83671.0,0,0.0,0,0,0
"plan6226","06e5e3c698","Project Manager",88056.0,3,264168.0,0,0,3
"plan6224","bca7f03904","Administrative Officer",116296.0,0,0.0,0,0,0
"plan6220","6269c958a6","Software Developer",137690.0,0,0.0,0,0,0
"plan6218","2303d85d9d","Accountant",62968.0,3,188904.0,0,0,3
"plan6217","7e264b821c","Associate",53244.0,4,212976.0,0,0,4
"plan6216","a5afa7a092","Analyst",123078.0,0,0.0,0,0,0
"plan6214","9ea2ec87f0","Project Manager",145224.0,0,0.0,0,0,0
"plan6213","5a7ca26f18","Researcher",59719.0,0,0.0,0,0,0
"plan6211","ed30597d9a","Accountant",63870.0,9,574830.0,0,0,9
"plan6210","3af3de82f1","Administrative Officer",139791.0,11,1537701.0,0,0,11
"plan6209","6ad9424b3b","Associate",149102.0,3,447306.0,0,0,3
"plan6208","2cfcfcb790","Associate",91882.0,9,826938.0,0,0,9
"plan6207","5b994c9a11","Secretary",81568.0,0,0.0,0,0,0
"plan6206","493f33ab14","Project Manager",74337.0,0,0.0,0,0,0
"plan6203","0730ae03df","Accountant",60348.0,4,241392.0,0,0,4
"plan6200","f922711154","Engineer",54696.0,2,109392.0,0,0,2
"plan6199","0f866d13e7","Accountant",85824.0,10,858240.0,0,0,10
"plan6198","dccd54381a","Accountant",124548.0,11,1370028.0,0,0,11
"plan6197","e608e1501d","Accountant",102923.0,0,0.0,0,0,0
"plan6196","6bfe05ee2f","Administrative Officer",62996.0,3,188988.0,0,0,3
"plan6194","64db81a0ed","Designer",104565.0,10,1045650.0,0,0,10
"plan6193","c9687e9391","Researcher",80135.0,9,721215.0,0,0,9
"plan6192","6278955d6e","Head of Marketing and Sales",69371.0,0,0.0,0,0,0
"plan6190","6c8d96bc12","Designer",146766.0,0,0.0,0,0,0
"plan6189","677af1fd5d","Associate",135780.0,0,0.0,0,0,0
"plan6187","677a7f5c62","HR Manager",83108.0,0,0.0,0,0,0
"plan6184","2c5ecceb61","Engineer",53529.0,9,481761.0,0,0,9
"plan6183","f82f0fd818","Designer",112389.0,0,0.0,0,0,0
"plan6182","c663128941","Business Development Manager",112993.0,5,564965.0,0,0,5
"plan6181","0c0a67a2aa","Researcher",64404.0,11,708444.0,0,0,11
"plan6179","328f0b00cd","Secretary",78616.0,0,0.0,0,0,0
"plan6177","913cf23912","Engineer",69167.0,8,553336.0,0,0,8
"plan6176","8a20a0aa3b","Business Development Manager",96804.0,0,0.0,0,0,0
"plan6174","e80d4bb836","Software Developer",140245.0,0,0.0,0,0,0
"plan6171","6f70c5c9bf","HR Manager",70633.0,3,211899.0,0,0,3
"plan6170","3b52338b56","Analyst",86546.0,0,0.0,0,0,0
"plan6168","8910fadf8d","Designer",89210.0,0,0.0,0,0,0
"plan6167","0500737ee2","Researcher",71371.0,5,356855.0,0,0,5
"plan6166","8f34f43928","Accountant",88053.0,0,0.0,0,0,0
"plan6165","273f7828b9","Administrative Officer",76850.0,0,0.0,0,0,0
"plan6164","bc8c192fd5","Administrative Officer",83566.0,0,0.0,0,0,0
"plan6162","5dbd1101fd","Analyst",128543.0,0,0.0,0,0,0
"plan6161","e88a9325bf","Analyst",57547.0,0,0.0,0,0,0
"plan6156","ef231c6514","Administrative Officer",109444.0,0,0.0,0,0,0
"plan6155","64729c3aff","Secretary",78620.0,0,0.0,0,0,0
"plan6154","37af4347c7","Designer",114162.0,9,1027458.0,0,0,9
"plan6150","266a89aa83","HR Manager",107225.0,5,536125.0,0,0,5
"plan6148","3e55e922d6","Analyst",135091.0,0,0.0,0,0,0
"plan6147","a69205de12","Engineer",64679.0,0,0.0,0,0,0
"plan6145","e56cf2fa52","Head of Marketing and Sales",81049.0,0,0.0,0,0,0
"plan6143","f21b458bea","Researcher",149117.0,8,1192936.0,0,0,8
"plan6142","2ac021929e","Analyst",112320.0,10,1123200.0,0,0,10
"plan6141","b5deedefb7","Engineer",71413.0,9,642717.0,0,0,9
"plan6140","1069e355f4","HR Manager",68678.0,6,412068.0,0,0,6
"plan6139","10eda7eb28","Researcher",99910.0,4,399640.0,0,0,4
"plan6138","bcaa09a0af","Researcher",134324.0,5,671620.0,0,0,5
"plan6137","5ba56c2a2d","Software Developer",52505.0,6,315030.0,0,0,6
"plan6136","842233a6f8","Designer",111520.0,5,557600.0,0,0,5
"plan6135","e9b4de4cd8","Business Development Manager",119662.0,2,239324.0,0,0,2
"plan6134","5e3976db12","Researcher",149602.0,0,0.0,0,0,0
"plan6133","0a756ba29e","Analyst",134089.0,0,0.0,0,0,0
"plan6129","24b9d241ba","Secretary",132622.0,10,1326220.0,0,0,10
"plan6128","4931b24c5f","Associate",134553.0,0,0.0,0,0,0
"plan6127","3935c96437","Business Development Manager",67981.0,5,339905.0,0,0,5
"plan6126","4dd9ee7ea5","Associate",78399.0,3,235197.0,0,0,3
"plan6125","b014c619ae","Administrative Officer",86994.0,0,0.0,0,0,0
"plan6124","41fc97dd2e","HR Manager",131215.0,0,0.0,0,0,0
"plan6121","4001aa5528","Associate",80101.0,6,480606.0,0,0,6
"plan6120","069fd20cea","HR Manager",51172.0,2,102344.0,0,0,2
"plan6118","57b0d0579c","Business Development Manager",149473.0,7,1046311.0,0,0,7
"plan6117","de0d9a48fc","Associate",149601.0,5,748005.0,0,0,5
"plan6116","1771680a5c","Researcher",98010.0,6,588060.0,0,0,6
"plan6115","4aff22a456","Designer",136205.0,8,1089640.0,0,0,8
"plan6114","a042cd1f6e","Head of Marketing and Sales",71945.0,0,0.0,0,0,0
"plan6113","2dd948e744","HR Manager",74732.0,9,672588.0,0,0,9
"plan6112","1fd0c68b7c","Head of Marketing and Sales",53410.0,11,587510.0,0,0,11
