"ID","Department","Company","From Date","Total Estimated Budget","To Date","ID (Staffing Plan Detail)"
"plan2388","Quality Management - 6","6company","2041-10-28",586498.0,"2041-10-29","e1ec883be9"
"plan2386","Management - 8","8company","2041-04-26",0.0,"2041-08-29","ad4487bb17"
"plan2385","Production - 5","5company","2039-03-15",306336.0,"2039-07-15","c67abc937d"
"plan2382","Dispatch - 8","8company","2040-04-25",404192.0,"2040-11-26","b4bd806c56"
"plan2380","","11company","2041-06-02",356708.0,"2041-09-28","db0c0cf43c"
"plan2379","Human Resources - 112","12company","2041-05-27",380764.0,"2041-11-28","a1535516df"
"plan2377","Quality Management - 2","2company","2040-10-19",1454550.0,"2040-11-25","f81aa92ffe"
"plan2374","Customer Service - 114","14company","2041-02-02",1563067.0,"2041-07-16","ac0de65eb9"
"plan2372","Human Resources - 7","7company","2039-09-04",0.0,"2040-10-07","42e593eefe"
"plan2368","Sales - 113","13company","2041-09-01",0.0,"2041-11-17","a9d6c2f838"
"plan2367","Production - 7","7company","2040-11-19",213762.0,"2040-11-27","17e4793f49"
"plan2365","Marketing - 110","10company","2039-10-12",0.0,"2040-11-24","60dfcda820"
"plan2364","","11company","2041-11-08",0.0,"2041-11-23","87ff21aab7"
"plan2361","Marketing - 3","3company","2040-06-09",0.0,"2040-11-29","63684a28b2"
"plan2360","Customer Service - 114","14company","2039-06-10",0.0,"2040-10-26","aeb4772e2d"
"plan2357","Customer Service - 1","1company","2040-09-06",1509299.0,"2040-10-21","e8361a43ba"
"plan2356","Human Resources - 117","17company","2040-11-04",1171049.0,"2040-11-14","5d9caaa82f"
"plan2355","Purchase - 3","3company","2040-09-21",585785.0,"2040-09-25","5411c5fb62"
"plan2354","Quality Management - 5","5company","2041-07-17",1078340.0,"2041-11-29","7a619018ab"
"plan2353","Management - 1","1company","2040-10-29",0.0,"2040-10-29","534601f523"
"plan2352","Legal - 112","12company","2041-11-04",0.0,"2041-11-28","fd2e19a28f"
"plan2351","Quality Management - 118","18company","2039-11-21",936488.0,"2039-11-22","9e5a8fdae0"
"plan2349","Quality Management - 113","13company","2041-02-09",548199.0,"2041-05-18","7af146d894"
"plan2347","Purchase - 2","2company","2041-09-23",1122836.0,"2041-10-24","cf505462c3"
"plan2346","Human Resources - 117","17company","2041-11-02",0.0,"2041-11-26","aff1370b49"
"plan2345","Purchase - 6","6company","2041-03-12",1168780.0,"2041-04-13","7ac7b3436d"
"plan2344","Purchase - 115","15company","2040-06-21",0.0,"2040-09-23","ca80bf2741"
"plan2342","","11company","2040-03-15",0.0,"2040-10-21","a34db66794"
"plan2339","Human Resources - 3","3company","2040-11-12",0.0,"2040-11-25","27a8bc8606"
"plan2336","Legal - 6","6company","2041-06-21",444672.0,"2041-06-28","bdcc77ef04"
"plan2335","","11company","2039-05-14",644607.0,"2039-05-18","77d616308c"
"plan2334","Sales - 112","12company","2040-09-05",255612.0,"2040-11-22","36d28904a0"
"plan2332","Human Resources - 5","5company","2040-05-12",0.0,"2040-09-14","33d2b9b092"
"plan2331","Research & Development - 9","9company","2041-01-19",0.0,"2041-11-29","826e2ee86a"
"plan2329","Customer Service - 6","6company","2041-09-10",435348.0,"2041-09-27","fa89d089fa"
"plan2328","Customer Service - 117","17company","2039-02-17",934947.0,"2039-03-18","53d31657c2"
"plan2327","Production - 9","9company","2041-01-16",294784.0,"2041-08-17","6c31a4b316"
"plan2325","","11company","2039-08-18",578421.0,"2039-09-26","9dd4804cca"
"plan2324","Production - 6","6company","2039-04-26",818736.0,"2039-08-27","58922cd4fd"
"plan2323","Human Resources - 113","13company","2039-01-23",0.0,"2039-02-24","4ac736902a"
"plan2321","","11company","2041-02-28",888264.0,"2041-10-29","425ee33d41"
"plan2320","Customer Service - 2","2company","2041-01-27",557040.0,"2041-06-28","2b6da1742e"
"plan2319","Dispatch - 112","12company","2039-06-26",632110.0,"2039-09-27","fde7e6f071"
"plan2318","Human Resources - 114","14company","2040-11-27",304731.0,"2040-11-27","4ffb47989f"
"plan2317","Quality Management - 7","7company","2039-02-04",1279322.0,"2039-04-10","b2a3a679d4"
"plan2316","Management - 115","15company","2040-06-25",1016361.0,"2040-08-27","e4cb89dac8"
"plan2315","Sales - 113","13company","2039-07-16",0.0,"2040-09-17","638e4815ed"
"plan2313","Quality Management - 4","4company","2040-08-01",861366.0,"2040-08-10","d13774af7f"
"plan2308","Purchase - 115","15company","2040-08-10",0.0,"2040-08-27","c502a03aec"
"plan2307","Dispatch - 118","18company","2039-07-03",0.0,"2039-11-28","09d2a13ee4"
"plan2306","Quality Management - 7","7company","2040-01-16",175212.0,"2040-05-24","a9942a6189"
"plan2305","Marketing - 118","18company","2040-10-22",1169720.0,"2040-11-24","8612653fc4"
"plan2304","Quality Management - 8","8company","2041-11-06",747108.0,"2041-11-14","beff62bddf"
"plan2303","Human Resources - 114","14company","2041-09-21",913878.0,"2041-09-21","83592b06c9"
"plan2302","Marketing - 9","9company","2040-03-19",0.0,"2040-07-28","3039a3a071"
"plan2300","Customer Service - 1","1company","2041-07-25",0.0,"2041-08-25","16c0948f2b"
"plan2296","Research & Development - 9","9company","2040-09-11",787590.0,"2040-09-13","51084246b5"
"plan2295","Operations - 8","8company","2040-01-04",1126310.0,"2040-02-06","d3f317c4ef"
"plan2294","Dispatch - 112","12company","2039-06-05",606389.0,"2039-10-28","69a9487e8c"
"plan2293","Quality Management - 113","13company","2041-10-14",266036.0,"2041-10-26","3352c657d1"
"plan2291","Sales - 116","16company","2039-10-29",0.0,"2040-10-29","bf0966c11c"
"plan2289","Legal - 117","17company","2040-02-02",676698.0,"2040-03-18","84d1a1708b"
"plan2288","","11company","2039-11-26",0.0,"2039-11-28","e88b5e380f"
"plan2287","Human Resources - 116","16company","2040-02-26",647552.0,"2040-07-28","df0acd67c4"
"plan2286","Research & Development - 2","2company","2041-11-12",873612.0,"2041-11-24","694547201b"
"plan2285","Production - 116","16company","2040-03-06",548115.0,"2040-10-16","572330f93e"
"plan2284","Legal - 6","6company","2040-03-25",0.0,"2040-05-26","691f3de135"
"plan2281","Production - 116","16company","2040-05-24",671664.0,"2040-11-25","76ce4b5fd1"
"plan2280","Management - 112","12company","2040-06-22",0.0,"2040-06-26","f8cc505687"
"plan2279","Research & Development - 2","2company","2041-07-24",0.0,"2041-11-29","9369e2eae2"
"plan2278","Quality Management - 8","8company","2039-07-13",0.0,"2039-10-28","84fe9d9f8c"
"plan2277","Sales - 6","6company","2041-05-09",0.0,"2041-06-19","b5f52325ee"
"plan2276","Legal - 116","16company","2041-03-13",1024600.0,"2041-04-21","6bb04fd4bf"
"plan2275","Customer Service - 9","9company","2041-04-24",0.0,"2041-08-29","6bb27b7314"
"plan2274","Production - 5","5company","2041-05-12",0.0,"2041-07-24","b4c49df653"
"plan2273","Quality Management - 112","12company","2040-09-08",0.0,"2040-10-17","0f9fe090cc"
"plan2270","Marketing - 115","15company","2039-03-07",486486.0,"2039-06-12","957dc70a5d"
"plan2269","Marketing - 117","17company","2041-04-21",324455.0,"2041-10-22","29a28b2dec"
"plan2268","Dispatch - 2","2company","2039-08-06",428925.0,"2039-09-17","ff8af8a377"
"plan2267","Research & Development - 110","10company","2040-10-13",351462.0,"2040-11-28","f0cda16885"
"plan2266","Customer Service - 6","6company","2040-03-14",815004.0,"2040-04-27","180dd20a9d"
"plan2265","Quality Management - 7","7company","2041-07-17",1104763.0,"2041-07-21","c2d131fd3b"
"plan2264","Human Resources - 118","18company","2039-06-07",0.0,"2040-06-29","85699bb3ac"
"plan2263","Research & Development - 5","5company","2040-06-12",461896.0,"2040-06-14","faee9ae0d9"
"plan2261","Management - 114","14company","2039-06-13",1040076.0,"2039-07-24","04b751369a"
"plan2260","Management - 110","10company","2040-11-05",1320642.0,"2040-11-15","d8355728b8"
"plan2259","Human Resources - 110","10company","2039-08-05",1048180.0,"2039-11-07","50de9eb167"
"plan2258","Customer Service - 6","6company","2041-11-01",1024648.0,"2041-11-06","b3f36b8fd4"
"plan2257","Legal - 113","13company","2039-09-03",0.0,"2039-10-20","a70b0b194c"
"plan2256","Dispatch - 112","12company","2039-04-28",0.0,"2039-06-28","6c32fd7c38"
"plan2254","Quality Management - 116","16company","2041-07-09",0.0,"2041-11-12","5f999faaab"
"plan2253","Production - 116","16company","2039-04-20",848610.0,"2039-09-20","4fbcea0b20"
"plan2252","Customer Service - 115","15company","2041-11-12",785604.0,"2041-11-16","2d69555e3c"
"plan2251","Quality Management - 117","17company","2040-09-09",0.0,"2040-10-17","d329ac9317"
"plan2250","Customer Service - 115","15company","2041-11-01",1170090.0,"2041-11-19","a117b96fb4"
"plan2249","Management - 2","2company","2041-03-02",300512.0,"2041-10-25","5f33778132"
"plan2247","Purchase - 8","8company","2041-07-11",176444.0,"2041-07-23","a905ea25eb"
"plan2246","Human Resources - 118","18company","2040-02-08",1011717.0,"2040-04-12","690df18908"
"plan2245","Operations - 112","12company","2039-04-24",832671.0,"2039-04-24","5fd428bd97"
"plan2244","Research & Development - 1","1company","2041-03-14",1622742.0,"2041-04-24","0c2e76c7ff"
"plan2243","Quality Management - 116","16company","2041-08-26",0.0,"2041-10-27","19263734d7"
"plan2241","Human Resources - 4","4company","2039-08-19",406265.0,"2039-10-28","a64bda51cf"
"plan2240","Production - 114","14company","2041-03-28",233382.0,"2041-09-28","2b44f90a34"
"plan2239","Research & Development - 8","8company","2039-10-22",696960.0,"2039-11-24","0361905751"
"plan2238","Marketing - 110","10company","2041-11-20",1076248.0,"2041-11-28","8d9a449cb2"
"plan2237","","11company","2040-09-03",572430.0,"2040-10-16","4d0db237ee"
"plan2236","Purchase - 118","18company","2041-05-18",471630.0,"2041-10-27","b7dbdb21d8"
"plan2235","Human Resources - 5","5company","2039-02-26",985880.0,"2039-06-26","1dcd3cc2c0"
"plan2234","Purchase - 2","2company","2039-04-01",229332.0,"2040-04-04","4a9039be3a"
"plan2233","Production - 116","16company","2040-01-16",0.0,"2040-04-19","ffa3da2774"
"plan2231","Legal - 110","10company","2040-10-03",121600.0,"2040-11-03","27f00a3cb3"
"plan2229","Operations - 9","9company","2039-08-15",215380.0,"2039-08-16","e27a730794"
"plan2228","Dispatch - 115","15company","2041-05-26",810120.0,"2041-07-26","4b04a6c26c"
"plan2227","Sales - 118","18company","2040-08-28",1026333.0,"2040-11-28","0bb69b0169"
"plan2226","Marketing - 9","9company","2041-05-18",280563.0,"2041-08-27","56f134fd17"
"plan2225","Operations - 113","13company","2041-11-23",477396.0,"2041-11-25","90814e3b52"
"plan2224","Legal - 8","8company","2039-11-17",0.0,"2039-11-24","ff42bd6fef"
"plan2223","Research & Development - 112","12company","2039-04-10",1093896.0,"2039-06-26","9b89a8f084"
"plan2221","Sales - 114","14company","2039-11-10",591176.0,"2040-11-19","a7f5c7b57d"
"plan2220","Legal - 117","17company","2040-10-08",745400.0,"2040-11-22","bbed430cb0"
"plan2219","Management - 118","18company","2041-10-18",919593.0,"2041-11-29","28e802ee62"
"plan2218","Quality Management - 2","2company","2039-05-19",482270.0,"2039-05-27","00352a4048"
"plan2217","Operations - 110","10company","2040-07-29",477297.0,"2040-07-29","4bcb4ce5e3"
"plan2216","Customer Service - 118","18company","2041-07-13",0.0,"2041-09-19","e2dab0cd1f"
"plan2215","Human Resources - 117","17company","2039-04-08",0.0,"2039-04-18","73bbdb53b0"
"plan2213","Customer Service - 110","10company","2040-09-04",1318889.0,"2040-10-07","72bfebd9cc"
"plan2212","Quality Management - 112","12company","2041-11-06",188994.0,"2041-11-22","23d18cc515"
"plan2211","Sales - 110","10company","2039-05-27",374448.0,"2039-07-27","bf09ccbbb3"
"plan2210","Human Resources - 3","3company","2040-04-19",536945.0,"2040-11-19","8ef557eb16"
"plan2209","Quality Management - 8","8company","2040-03-15",0.0,"2040-06-29","b77ac79800"
"plan2208","Sales - 118","18company","2040-08-25",0.0,"2040-11-25","4ae615f6d0"
"plan2206","Research & Development - 9","9company","2040-03-07",416648.0,"2040-05-19","9cd3b64cf1"
"plan2205","Management - 6","6company","2040-11-17",551128.0,"2040-11-20","cf66e655dd"
"plan2204","Management - 2","2company","2041-07-10",750060.0,"2041-08-11","df1237b0d1"
"plan2203","Customer Service - 1","1company","2041-03-29",679212.0,"2041-03-29","d306cdc96e"
"plan2201","Purchase - 7","7company","2041-08-07",904500.0,"2041-10-21","84c9f6e60b"
"plan2200","Operations - 5","5company","2040-06-24",223948.0,"2040-08-24","03369cc83f"
"plan2199","Marketing - 113","13company","2041-09-09",0.0,"2041-11-22","fcdad66376"
"plan2198","","11company","2040-06-06",464772.0,"2040-10-13","f3d4b2df1f"
"plan2197","Research & Development - 5","5company","2041-11-18",0.0,"2041-11-25","9515483ca3"
"plan2195","","11company","2039-11-15",1286145.0,"2040-11-23","18f6e31d59"
"plan2194","Human Resources - 4","4company","2041-07-01",0.0,"2041-10-10","8687284bed"
"plan2193","Operations - 4","4company","2041-01-23",350170.0,"2041-01-27","6c2b6fdb84"
"plan2190","","11company","2041-10-28",436302.0,"2041-10-28","9a1cac137b"
"plan2189","Operations - 9","9company","2041-02-04",844319.0,"2041-09-09","6a90261b0b"
"plan2188","Dispatch - 6","6company","2041-07-07",1079280.0,"2041-07-15","5011b85ce9"
"plan2187","Customer Service - 114","14company","2041-09-07",393468.0,"2041-09-16","c997c96405"
"plan2186","Purchase - 116","16company","2041-01-17",106394.0,"2041-11-21","a9c9a7e240"
"plan2185","Customer Service - 7","7company","2040-03-14",0.0,"2040-05-22","f810ba246d"
"plan2184","Purchase - 115","15company","2039-11-07",0.0,"2039-11-14","5813f1f4ae"
"plan2182","Dispatch - 3","3company","2039-07-18",739640.0,"2039-10-23","a4692147d1"
"plan2180","Purchase - 7","7company","2040-07-08",0.0,"2040-10-14","c6455f9165"
"plan2179","Purchase - 114","14company","2039-11-19",1219031.0,"2040-11-29","76aaf611a9"
"plan2174","Customer Service - 118","18company","2040-08-20",0.0,"2040-09-29","abb0edd4b4"
"plan2173","Human Resources - 2","2company","2039-05-26",125302.0,"2039-08-28","2e916b0c99"
"plan2170","Management - 4","4company","2040-03-02",575323.0,"2040-06-17","d35580d396"
"plan2169","Management - 9","9company","2039-11-25",589112.0,"2039-11-25","b5ba4ac8ca"
"plan2168","Operations - 1","1company","2039-04-14",823392.0,"2040-09-18","e2b048116f"
"plan2167","Production - 7","7company","2039-04-27",1155159.0,"2039-07-29","4c2af73789"
"plan2165","Customer Service - 1","1company","2040-02-16",304983.0,"2040-07-19","aa066f0507"
"plan2164","Research & Development - 8","8company","2041-04-18",921240.0,"2041-04-19","2b2c967b0a"
"plan2163","Operations - 6","6company","2041-11-29",565173.0,"2041-11-29","177a1cfa5f"
"plan2162","Purchase - 114","14company","2041-10-18",566000.0,"2041-11-22","780990784b"
"plan2161","Human Resources - 8","8company","2039-03-25",0.0,"2039-07-28","8cd3a6667e"
"plan2160","Customer Service - 112","12company","2041-08-24",689485.0,"2041-08-26","733b799d94"
"plan2158","Operations - 6","6company","2039-08-28",0.0,"2039-10-28","4874f169fa"
"plan2156","","11company","2040-09-20",0.0,"2040-11-23","ef22db0652"
"plan2155","Legal - 5","5company","2040-01-25",0.0,"2040-05-28","06079f734f"
"plan2153","Customer Service - 8","8company","2039-09-23",207825.0,"2039-11-29","2623bd93c1"
"plan2152","Production - 118","18company","2040-01-15",574695.0,"2040-07-23","88ca46e99a"
"plan2151","Legal - 8","8company","2039-01-10",0.0,"2039-04-23","5855b7de61"
"plan2150","Human Resources - 5","5company","2041-09-12",0.0,"2041-10-16","e98f0dd98c"
"plan2149","Production - 3","3company","2040-09-02",1647481.0,"2040-10-04","7e077c116d"
"plan2148","Operations - 116","16company","2039-09-26",1209177.0,"2040-11-26","66fb6bd49f"
"plan2147","Dispatch - 110","10company","2039-11-06",0.0,"2040-11-28","fd0b90cdb3"
"plan2146","Operations - 6","6company","2040-06-21",0.0,"2040-10-26","da564e8b05"
"plan2145","Customer Service - 5","5company","2041-09-20",0.0,"2041-09-27","116a639539"
"plan2144","Operations - 8","8company","2039-10-23",1322640.0,"2040-10-25","e3ab82cb0a"
"plan2143","Legal - 4","4company","2039-09-14",170660.0,"2040-10-23","5bcf41d7ad"
"plan2142","Purchase - 118","18company","2040-03-10",182728.0,"2040-11-19","d34359a3e9"
"plan2141","Production - 2","2company","2041-08-11",0.0,"2041-10-13","9a37fd06e0"
"plan2140","Purchase - 113","13company","2040-03-05",0.0,"2040-04-11","8d04705550"
"plan2139","Production - 115","15company","2041-07-16",251322.0,"2041-10-29","90026a8312"
"plan2138","Customer Service - 5","5company","2040-06-14",465930.0,"2040-08-14","15a2a53799"
"plan2136","Purchase - 7","7company","2041-09-18",407645.0,"2041-09-27","7048ce005a"
"plan2135","Sales - 4","4company","2039-04-20",403152.0,"2040-08-28","35073268e5"
"plan2134","Human Resources - 9","9company","2040-05-02",568020.0,"2040-11-06","7f19fb0b24"
"plan2133","Sales - 112","12company","2041-01-25",849140.0,"2041-03-28","2d2ff47ed7"
"plan2132","Dispatch - 2","2company","2040-11-24",586116.0,"2040-11-28","4fb203289b"
"plan2130","Human Resources - 113","13company","2039-08-15",862134.0,"2039-10-19","5d76458000"
"plan2129","Dispatch - 8","8company","2039-08-11",250004.0,"2039-11-22","9d4739c8b5"
"plan2128","Legal - 7","7company","2041-02-20",0.0,"2041-02-26","1d71b8c3ed"
"plan2127","Human Resources - 8","8company","2041-10-17",241560.0,"2041-10-20","985e906131"
"plan2126","Management - 8","8company","2041-10-29",703050.0,"2041-11-29","31d51b54c2"
"plan2125","Legal - 118","18company","2041-06-10",393156.0,"2041-11-18","0b2914a99d"
"plan2124","Human Resources - 117","17company","2040-10-10",0.0,"2040-11-21","0717e60a4e"
"plan2123","Research & Development - 9","9company","2040-05-26",584200.0,"2040-11-28","b17568e8eb"
"plan2122","Customer Service - 116","16company","2040-11-09",894906.0,"2040-11-13","6857a3b024"
"plan2121","Legal - 2","2company","2041-09-15",440692.0,"2041-11-23","9391b4e02f"
"plan2119","","11company","2041-09-08",1620806.0,"2041-11-22","27b318b72b"
"plan2117","Legal - 6","6company","2039-02-07",560505.0,"2040-04-09","2a617acb6b"
"plan2116","Quality Management - 110","10company","2040-06-09",0.0,"2040-11-12","a40da9786e"
"plan2115","Human Resources - 117","17company","2039-04-09",654650.0,"2040-07-19","f54e32b8ec"
"plan2114","Human Resources - 8","8company","2040-04-06",691471.0,"2040-09-14","c1c5b6d292"
"plan2113","Purchase - 6","6company","2040-01-08",318320.0,"2040-02-20","5360290110"
"plan2112","Customer Service - 1","1company","2041-05-14",741984.0,"2041-08-19","166e6e199f"
"plan2111","Marketing - 116","16company","2040-03-15",0.0,"2040-06-21","ea6d5faed1"
"plan2110","Research & Development - 116","16company","2041-10-07",0.0,"2041-10-11","0ce0f098be"
"plan2109","Management - 113","13company","2039-03-26",256059.0,"2039-11-26","73c57e54e5"
"plan2108","Quality Management - 9","9company","2040-08-21",0.0,"2040-11-26","6d549efeb7"
"plan2106","Research & Development - 116","16company","2040-11-25",0.0,"2040-11-26","981843dfaf"
"plan2105","Management - 4","4company","2039-09-03",1055024.0,"2040-09-20","88f78e6fde"
"plan2103","Management - 7","7company","2039-02-08",601744.0,"2039-03-13","dc6b2ea620"
"plan2102","Marketing - 3","3company","2040-08-11",0.0,"2040-08-20","6e496a6567"
"plan2101","Dispatch - 9","9company","2040-07-23",0.0,"2040-10-25","ee177416f3"
"plan2100","Management - 114","14company","2040-08-26",213170.0,"2040-08-29","b2f394f9e9"
"plan2099","Legal - 116","16company","2038-03-11",0.0,"2038-04-21","5eaaa2e3bb"
"plan2094","Dispatch - 116","16company","2037-11-02",0.0,"2038-11-18","b4fbe01851"
"plan2093","Quality Management - 117","17company","2039-11-29",1465926.0,"2039-11-29","a22ba4a4fb"
"plan2088","Operations - 8","8company","2037-07-11",588995.0,"2037-11-28","d57f191047"
"plan2086","Research & Development - 5","5company","2037-11-22",868888.0,"2038-11-29","2435b24ac7"
"plan2085","Legal - 9","9company","2039-02-21",782033.0,"2039-02-28","c51f1891d7"
"plan2084","Purchase - 118","18company","2039-10-08",0.0,"2039-10-13","e394431caa"
"plan2082","Human Resources - 3","3company","2037-09-16",1364590.0,"2037-09-24","d5492aae46"
"plan2081","Production - 6","6company","2037-01-09",446900.0,"2037-07-27","f4aad514e6"
"plan2080","Dispatch - 6","6company","2038-02-09",0.0,"2038-11-27","9aecc860bb"
"plan2079","Operations - 5","5company","2039-01-29",238146.0,"2039-01-29","d350d33c44"
"plan2078","Human Resources - 3","3company","2038-06-22",1397360.0,"2038-09-28","c1b7cb0804"
"plan2076","Quality Management - 3","3company","2038-06-05",0.0,"2038-09-09","89b160d7ec"
"plan2075","Sales - 113","13company","2038-01-23",322272.0,"2038-07-29","e0531b7f66"
"plan2074","Operations - 4","4company","2039-07-04",0.0,"2039-07-28","8bff0fa48d"
"plan2070","Customer Service - 110","10company","2037-04-29",238270.0,"2037-05-29","a82276ab1a"
"plan2069","Human Resources - 112","12company","2038-02-21",232506.0,"2038-06-24","4c9de57e00"
"plan2068","","11company","2037-11-03",0.0,"2037-11-10","1ea26a4fa9"
"plan2067","Quality Management - 9","9company","2038-11-08",732750.0,"2038-11-20","65c7b5eb8a"
"plan2066","Human Resources - 9","9company","2037-05-05",0.0,"2038-09-18","5f5ee0065e"
"plan2065","Management - 1","1company","2038-04-15",0.0,"2038-09-20","2602d9f593"
"plan2063","Management - 1","1company","2038-04-26",0.0,"2038-06-28","55a6be5be9"
"plan2062","Research & Development - 110","10company","2037-11-07",0.0,"2037-11-28","a8a110c27a"
"plan2059","","11company","2039-11-09",700596.0,"2039-11-29","bb31e6bd8a"
"plan2058","Quality Management - 1","1company","2039-11-10",278362.0,"2039-11-20","271f7be006"
"plan2057","Purchase - 114","14company","2037-06-26",659980.0,"2038-10-29","7ac9c6f653"
"plan2051","Legal - 115","15company","2038-10-06",0.0,"2038-11-20","dce3829bba"
"plan2049","Quality Management - 4","4company","2038-04-03",807516.0,"2038-08-09","6675e50f27"
"plan2047","Marketing - 114","14company","2038-11-10",0.0,"2038-11-29","28533bb3b5"
"plan2046","","11company","2038-07-27",386204.0,"2038-11-29","c99f988f57"
"plan2043","Research & Development - 3","3company","2038-01-18",681490.0,"2038-05-24","346bc6790c"
"plan2042","Production - 1","1company","2038-09-12",466235.0,"2038-11-16","0110109f51"
"plan2041","Management - 6","6company","2037-11-23",665484.0,"2038-11-28","2be30c565e"
"plan2040","Legal - 3","3company","2038-10-24",305745.0,"2038-10-26","9ca9610a16"
"plan2039","Quality Management - 4","4company","2038-06-10",0.0,"2038-11-28","0495482914"
"plan2038","Operations - 1","1company","2039-09-25",0.0,"2039-10-29","b49bcc4f84"
"plan2037","Sales - 5","5company","2039-10-20",622716.0,"2039-11-27","5db6cb7f43"
"plan2035","Research & Development - 4","4company","2039-07-05",0.0,"2039-08-19","4f66f423a0"
"plan2034","","11company","2037-11-05",0.0,"2037-11-27","13aebf53aa"
"plan2032","Sales - 112","12company","2039-06-20",140730.0,"2039-09-24","3bef650f3e"
"plan2031","Purchase - 5","5company","2038-10-24",1373100.0,"2038-11-29","dd6147ed95"
"plan2030","Customer Service - 3","3company","2038-07-01",502804.0,"2038-10-28","9c90097157"
"plan2029","Legal - 114","14company","2039-11-16",932360.0,"2039-11-26","63fa5f21ba"
"plan2028","Customer Service - 116","16company","2038-08-24",0.0,"2038-11-29","ca1b576851"
"plan2027","Human Resources - 5","5company","2039-03-27",0.0,"2039-08-29","9d3d5965e2"
"plan2026","Sales - 3","3company","2039-02-20",143792.0,"2039-10-21","d9ff506f90"
"plan2022","Dispatch - 4","4company","2037-04-01",0.0,"2037-07-27","fd2fa297a9"
"plan2021","Management - 113","13company","2038-03-09",1184460.0,"2038-04-09","7ed6849338"
"plan2019","Human Resources - 113","13company","2038-02-20",565764.0,"2038-03-20","2aedb4b94b"
"plan2017","Human Resources - 3","3company","2037-06-03",211634.0,"2037-07-11","8c1f463d14"
"plan2016","","11company","2037-02-21",519020.0,"2038-07-24","b8c4dd6347"
"plan2015","Operations - 5","5company","2037-06-05",981309.0,"2038-06-22","4205df7af1"
"plan2014","Production - 117","17company","2038-02-23",355116.0,"2038-11-26","4390799268"
"plan2013","Sales - 114","14company","2038-09-15",1375180.0,"2038-10-23","e40f93527b"
"plan2012","Legal - 1","1company","2039-06-27",0.0,"2039-09-28","2f48fdb24d"
"plan2011","Production - 114","14company","2038-06-19",0.0,"2038-07-21","e8cc4b5118"
"plan2010","Quality Management - 2","2company","2038-02-27",0.0,"2038-06-28","9eae7204ed"
"plan2008","Quality Management - 118","18company","2038-01-21",790884.0,"2038-01-26","6fb28c15d3"
"plan2007","","11company","2039-05-28",198558.0,"2039-08-29","2b94d3c120"
"plan2006","Quality Management - 116","16company","2039-10-26",428990.0,"2039-11-27","d33ff884dd"
"plan2005","","11company","2038-06-10",0.0,"2038-09-23","a6f0d168ce"
"plan2004","Management - 2","2company","2037-11-10",1242890.0,"2038-11-18","723789e035"
"plan2002","Quality Management - 118","18company","2038-10-15",720970.0,"2038-10-26","9a0c7eb7bb"
"plan2001","Management - 115","15company","2037-08-25",1009712.0,"2038-10-25","7a6bb7e6b7"
"plan2000","Dispatch - 5","5company","2039-07-09",1380588.0,"2039-07-24","3f9bde6ff0"
"plan1999","Dispatch - 110","10company","2037-10-24",1212390.0,"2038-11-27","0c8a5f3e24"
"plan1998","Production - 5","5company","2037-04-03",672310.0,"2037-04-18","d561e89a81"
"plan1995","Research & Development - 5","5company","2039-06-06",0.0,"2039-07-26","3b9e20a4c2"
"plan1994","Marketing - 9","9company","2037-05-28",0.0,"2038-10-29","e2ec1a759f"
"plan1990","Operations - 9","9company","2039-02-06",305553.0,"2039-10-13","406b34fd38"
"plan1988","Sales - 115","15company","2039-04-22",757416.0,"2039-08-22","993e815aca"
"plan1986","Quality Management - 7","7company","2037-02-01",0.0,"2037-09-18","8ffb973349"
"plan1985","Marketing - 4","4company","2038-10-20",1129414.0,"2038-11-28","8c2cd37618"
"plan1982","Management - 7","7company","2037-11-15",511857.0,"2037-11-21","842f61697d"
"plan1981","Production - 118","18company","2039-09-29",882378.0,"2039-11-29","53fc42b542"
"plan1980","Research & Development - 4","4company","2038-03-03",274032.0,"2038-09-11","debf5f3b39"
"plan1979","Dispatch - 114","14company","2039-10-12",1035666.0,"2039-10-15","27e9234c67"
"plan1978","Research & Development - 113","13company","2039-03-27",925816.0,"2039-11-29","f048ff9f5d"
"plan1977","Dispatch - 112","12company","2037-08-17",416808.0,"2037-09-26","0278fde1c0"
"plan1976","Legal - 116","16company","2038-09-28",980390.0,"2038-11-29","155a4d39e5"
"plan1975","Management - 1","1company","2038-05-20",1032080.0,"2038-05-29","9e8596ae3d"
"plan1974","Production - 3","3company","2039-08-18",217530.0,"2039-09-23","f6fa8c79f4"
"plan1973","Management - 113","13company","2038-11-29",827400.0,"2038-11-29","15bbfcc489"
"plan1972","Legal - 118","18company","2037-01-05",795696.0,"2037-02-23","7f60fb983d"
"plan1970","Marketing - 117","17company","2039-02-07",1197568.0,"2039-09-18","e80b349550"
"plan1969","Marketing - 9","9company","2037-02-14",540315.0,"2037-07-28","7b45873592"
"plan1968","Legal - 5","5company","2037-05-26",224100.0,"2038-10-27","a349542705"
"plan1967","Dispatch - 1","1company","2038-01-04",401824.0,"2038-07-28","a4c923f416"
"plan1964","Management - 115","15company","2038-06-29",0.0,"2038-10-29","5b94528a24"
"plan1962","","11company","2039-02-26",0.0,"2039-02-26","ec267505a9"
"plan1959","Operations - 115","15company","2037-07-10",1343646.0,"2037-07-22","4f7cd26bd6"
"plan1958","Dispatch - 7","7company","2038-07-26",718900.0,"2038-11-27","9dd779d8a2"
"plan1957","Legal - 4","4company","2037-10-22",0.0,"2037-10-25","c0c2a87fc4"
